x,isum,exponentialfit1,integral1,exponentialfit2,fdmax,exponentialfit3,tdmax,exponentialfit4
0,1.211161946,2.209495948,1.211161946,2.209495948,44.92575017,45.91887713,7865.376519,7856.655135
0.1,0.797157032,1.867986476,0.797157032,1.867986476,29.74436534,45.58126444,5186.835791,7856.31453
0.2,0.527948357,1.643105724,0.527948357,1.643105724,19.71569307,45.35763408,3436.507395,7856.089936
0.3,0.3514867,1.495023878,0.3514867,1.495023878,13.06556754,45.20950417,2288.987897,7855.941841
0.4,0.236448464,1.397513386,0.236448464,1.397513386,8.681319071,45.11138479,1541.002793,7855.844187
0.5,0.159824587,1.33330365,0.159824587,1.33330365,5.728041237,45.04639176,1040.922396,7855.779795
0.6,0.11005112,1.291022147,0.11005112,1.291022147,3.811180227,45.0033412,724.5375883,7855.737335
0.7,0.074031709,1.263180178,0.074031709,1.263180178,2.52301026,44.97482506,480.8493587,7855.709337
0.8,0.050985385,1.244846505,0.050985385,1.244846505,1.686916426,44.95593633,331.3444572,7855.690876
0.9,0.035758373,1.232773955,0.035758373,1.232773955,1.108810459,44.94342467,231.8609757,7855.678702
1,0.024965231,1.224824295,0.024965231,1.224824295,0.743049914,44.93513711,162.7046468,7855.670675
