x,isum,exponentialfit1,integral1,exponentialfit2,fdmax,exponentialfit3,tdmax,exponentialfit4
0,0.815467637,1.812226871,0.815467637,1.812226871,28.85857533,29.81820387,8391.508154,8360.767839
0.1,0.550667837,1.489948676,0.550667837,1.489948676,20.69751761,29.53690707,5680.356434,8360.446631
0.2,0.38001998,1.271533716,0.38001998,1.271533716,14.99069264,29.33473816,3920.160499,8360.228597
0.3,0.264680718,1.123509135,0.264680718,1.123509135,10.81066676,29.18943872,2731.741187,8360.080598
0.4,0.186660545,1.023189649,0.186660545,1.023189649,7.830694524,29.08501154,1928.302242,8359.980137
0.5,0.133687813,0.955200946,0.133687813,0.955200946,5.735089951,29.0099594,1382.304095,8359.911945
0.6,0.096498411,0.909123519,0.096498411,0.909123519,4.179349224,28.95601918,998.1198396,8359.865657
0.7,0.071758469,0.877895842,0.071758469,0.877895842,3.060882033,28.91725217,750.1988144,8359.834237
0.8,0.051351703,0.856732165,0.051351703,0.856732165,2.22939138,28.8893902,528.4702515,8359.812909
0.9,0.038568371,0.842389079,0.038568371,0.842389079,1.665927525,28.86936571,395.9439339,8359.798432
1,0.029073191,0.832668457,0.029073191,0.832668457,1.199885611,28.85497405,298.4227595,8359.788605
