x,isum,exponentialfit1,integral1,exponentialfit2,fdmax,exponentialfit3,tdmax,exponentialfit4
0,0.498471436,1.496514786,0.498471436,1.496514786,10.16121307,11.05420131,5113.091604,5094.076132
0.1,0.226428418,0.959120879,0.226428418,0.959120879,3.45884926,10.43048452,2320.805026,5093.538422
0.2,0.111518795,0.710519183,0.111518795,0.710519183,2.002338991,10.19579036,1143.800646,5093.289844
0.3,0.058546134,0.595514524,0.058546134,0.595514524,1.172426609,10.10747889,598.3029272,5093.174929
0.4,0.0328229,0.542312668,0.0328229,0.542312668,0.701611017,10.07424877,335.8455898,5093.121805
0.5,0.01895597,0.517701165,0.01895597,0.517701165,0.411782075,10.06174483,193.7998378,5093.097246
0.6,0.011401079,0.506315734,0.011401079,0.506315734,0.263855956,10.05703981,116.2662914,5093.085893
0.7,0.006935221,0.501048764,0.006935221,0.501048764,0.159813142,10.05526939,70.88194416,5093.080645
0.8,0.004283941,0.498612232,0.004283941,0.498612232,0.102978229,10.05460321,44.41324726,5093.078218
0.9,0.002795379,0.497485077,0.002795379,0.497485077,0.076810126,10.05435254,29.0038485,5093.077097
1,0.001910441,0.496963649,0.001910441,0.496963649,0.057504131,10.05425821,19.80838845,5093.076578
