x,isum,exponentialfit1,integral1,exponentialfit2,fdmax,exponentialfit3,tdmax,exponentialfit4
0,1.305762085,2.302019675,1.305762085,2.302019675,71.46032596,72.4194883,8485.057863,8463.397061
0.1,0.902971324,1.994584166,0.902971324,1.994584166,50.99559087,72.13292849,5878.287687,8463.09064
0.2,0.632264271,1.781665249,0.632264271,1.781665249,36.53805997,71.92848521,4124.34848,8462.878113
0.3,0.447533825,1.634205168,0.447533825,1.634205168,26.07437515,71.78262715,2917.121855,8462.730708
0.4,0.318476636,1.532079552,0.318476636,1.532079552,18.80911669,71.67856615,2076.533879,8462.628472
0.5,0.229129935,1.461350976,0.229129935,1.461350976,13.53877357,71.60432485,1493.845948,8462.557563
0.6,0.16574507,1.412366877,0.16574507,1.412366877,9.773045254,71.55135813,1083.226098,8462.508382
0.7,0.121355902,1.378442228,0.121355902,1.378442228,7.078650182,71.51356954,792.6345996,8462.474271
0.8,0.090795397,1.354947222,0.090795397,1.354947222,5.146287986,71.48660964,599.5417254,8462.450612
0.9,0.065465911,1.338675414,0.065465911,1.338675414,3.735914112,71.46737536,426.2372247,8462.434203
1,0.049216248,1.327406138,0.049216248,1.327406138,2.701644335,71.45365285,319.8592937,8462.422822
