x,isum,exponentialfit1,integral1,exponentialfit2,fdmax,exponentialfit3,tdmax,exponentialfit4
0,0.568086654,1.566196268,0.568086654,1.566196268,31.0300414,32.01401557,6470.718466,6450.531681
0.1,0.303388517,1.104424998,0.303388517,1.104424998,13.906435,31.45412465,3455.980093,6450.069893
0.2,0.167728956,0.855886434,0.167728956,0.855886434,6.239418345,31.20771157,1911.332674,6449.821353
0.3,0.096482544,0.722115838,0.096482544,0.722115838,2.957302629,31.09926294,1098.175836,6449.687586
0.4,0.056922382,0.650116661,0.056922382,0.650116661,1.908123483,31.05153371,645.1341147,6449.615591
0.5,0.03520119,0.611364634,0.03520119,0.611364634,1.282128521,31.03052764,399.9398834,6449.576842
0.6,0.022191918,0.590507181,0.022191918,0.590507181,0.848944756,31.02128268,252.6724951,6449.555987
0.7,0.014099976,0.5792811,0.014099976,0.5792811,0.571346121,31.01721389,160.3792389,6449.544763
0.8,0.009512032,0.573238901,0.009512032,0.573238901,0.378858964,31.01542318,108.505232,6449.538722
0.9,0.006425036,0.569986815,0.006425036,0.569986815,0.257340374,31.01463507,72.68576474,6449.53547
1,0.004329312,0.56823645,0.004329312,0.56823645,0.196590382,31.01428822,49.13958959,6449.533721
