x,isum,exponentialfit1,integral1,exponentialfit2,fdmax,exponentialfit3,tdmax,exponentialfit4
0,1.476744028,2.460887277,1.476744028,2.460887277,57.1939241,58.2172444,9598.545279,9501.682311
0.1,1.2509429,2.302308261,1.2509429,2.302308261,52.01516335,58.13843594,8150.372591,9501.524928
0.2,1.089994043,2.168876549,1.089994043,2.168876549,47.61941714,58.06583826,7106.981593,9501.392315
0.3,0.959866157,2.056604306,0.959866157,2.056604306,43.30108096,57.99896188,6256.06395,9501.280572
0.4,0.855347987,1.962136086,0.855347987,1.962136086,39.47958955,57.93735593,5577.692718,9501.186416
0.5,0.758387717,1.882648543,0.758387717,1.882648543,35.50813279,57.88060505,4946.946091,9501.107078
0.6,0.677503751,1.815766056,0.677503751,1.815766056,32.05710391,57.82832662,4422.528089,9501.040227
0.7,0.607487962,1.759489728,0.607487962,1.759489728,29.01457894,57.78016817,3968.618336,9500.983897
0.8,0.546526435,1.712137645,0.546526435,1.712137645,26.2719928,57.73580501,3572.319569,9500.936433
0.9,0.491007159,1.672294609,0.491007159,1.672294609,23.7564531,57.69493805,3209.325217,9500.896438
1,0.440742908,1.638769842,0.440742908,1.638769842,21.34074658,57.65729175,2878.197283,9500.862738
