x,isum,exponentialfit1,integral1,exponentialfit2,fdmax,exponentialfit3,tdmax,exponentialfit4
0,1.173326607,2.170409089,1.173326607,2.170409089,50.84907794,51.91831207,7607.933228,7590.325018
0.1,0.767097712,1.820868862,0.767097712,1.820868862,31.48351396,51.53237393,4973.337135,7589.97545
0.2,0.508054132,1.593507006,0.508054132,1.593507006,19.45346114,51.29538404,3293.321014,7589.74808
0.3,0.342639869,1.445617264,0.342639869,1.445617264,11.98612182,51.14985758,2219.233042,7589.600191
0.4,0.236331173,1.349420936,0.236331173,1.349420936,7.460874083,51.06049534,1528.948599,7589.504
0.5,0.165374683,1.286849095,0.165374683,1.286849095,4.63753249,51.00562139,1070.033783,7589.441433
0.6,0.118363355,1.246148629,0.118363355,1.246148629,2.868060648,50.97192539,765.6860598,7589.400738
0.7,0.086423892,1.219674613,0.086423892,1.219674613,1.770833499,50.95123396,556.2670856,7589.374269
0.8,0.065092712,1.202454331,0.065092712,1.202454331,1.159144068,50.93852815,419.3147898,7589.357052
0.9,0.049652211,1.19125323,0.049652211,1.19125323,1.058397795,50.93072599,319.5077873,7589.345854
1,0.038731124,1.183967364,0.038731124,1.183967364,0.975332579,50.92593498,249.1794301,7589.33857
