x,isum,exponentialfit1,integral1,exponentialfit2,fdmax,exponentialfit3,tdmax,exponentialfit4
0,1.334493491,2.331498141,1.334493491,2.331498141,49.81217553,50.76028279,8658.402598,8641.336805
0.1,0.931888908,2.029599483,0.931888908,2.029599483,36.08599731,50.48556913,6057.586212,8641.03626
0.2,0.655132346,1.818843624,0.655132346,1.818843624,26.25002263,50.28632306,4268.704923,8640.826042
0.3,0.466438033,1.671714677,0.466438033,1.671714677,19.1372241,50.14181261,3037.120838,8640.679004
0.4,0.333227602,1.569003761,0.333227602,1.569003761,13.98221603,50.03700116,2171.678309,8640.576158
0.5,0.240631443,1.497301133,0.240631443,1.497301133,10.23276736,49.96098284,1567.781745,8640.504221
0.6,0.17488737,1.447245432,0.17488737,1.447245432,7.481150412,49.9058478,1138.2469,8640.453905
0.7,0.12813113,1.41230148,0.12813113,1.41230148,5.489058158,49.8658591,838.1889475,8640.418711
0.8,0.093213353,1.38790706,0.093213353,1.38790706,4.040775793,49.83685585,603.5137806,8640.394095
0.9,0.069430398,1.370877283,0.069430398,1.370877283,2.973990603,49.81582018,451.0523376,8640.376877
1,0.052065606,1.358988773,0.052065606,1.358988773,2.192217858,49.8005633,338.4378633,8640.364834
