x,isum,exponentialfit1,integral1,exponentialfit2,fdmax,exponentialfit3,tdmax,exponentialfit4
0,1.158970927,2.156312298,1.158970927,2.156312298,51.7994438,52.79282365,7521.498243,7505.735279
0.1,0.714058965,1.772825221,0.714058965,1.772825221,31.03590299,52.39227912,4638.103598,7505.352354
0.2,0.44598391,1.536400483,0.44598391,1.536400483,18.62394801,52.15217051,2900.344295,7505.116061
0.3,0.283780212,1.390641576,0.283780212,1.390641576,11.18303425,52.00823609,1843.435977,7504.97025
0.4,0.183259402,1.300779326,0.183259402,1.300779326,6.699605436,51.92195381,1190.640916,7504.880274
0.5,0.1209376,1.245378088,0.1209376,1.245378088,4.036366725,51.87023143,785.9591339,7504.824752
0.6,0.079663471,1.211222509,0.079663471,1.211222509,2.410002168,51.83922617,514.6419068,7504.79049
0.7,0.054976676,1.190165152,0.054976676,1.190165152,1.448529472,51.82063989,356.8603259,7504.769349
0.8,0.038267591,1.17718302,0.038267591,1.17718302,0.873224404,51.80949825,247.5502032,7504.756303
0.9,0.027038537,1.169179368,0.027038537,1.169179368,0.526411751,51.80281933,174.7639847,7504.748252
1,0.019883832,1.164245013,0.019883832,1.164245013,0.336415218,51.79881561,128.4835809,7504.743284
