## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 07:34:16
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.15677 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.15677, 0.203528, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.15677 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.15677, 0.203528, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.11658 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.11658, 5.0338, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.156617 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.156617, 2091.94, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.541084277207, 1.53831419042, 0.541084277207, 1.53831419042, 13.1103436375, 13.9602902928, 5562.00003002, 5534.2491875
0.1, 0.281679159732, 1.06672798045, 0.281679159732, 1.06672798045, 5.18660685557, 13.3843916387, 2892.32296914, 5533.77727195
0.2, 0.155432034035, 0.817535323916, 0.155432034035, 0.817535323916, 2.86237341391, 13.1401522444, 1596.7784325, 5533.52806069
0.3, 0.0907540448733, 0.685858487827, 0.0907540448733, 0.685858487827, 1.84966179571, 13.0365699885, 930.849926461, 5533.3964561
0.4, 0.0551410247467, 0.616278631809, 0.0551410247467, 0.616278631809, 1.20520476314, 12.9926406144, 567.049692132, 5533.32695776
0.5, 0.0348443257538, 0.57951167638, 0.0348443257538, 0.57951167638, 0.79587427755, 12.9740101077, 356.566080618, 5533.29025676
0.6, 0.0226246031151, 0.560083510114, 0.0226246031151, 0.560083510114, 0.527931037693, 12.9661088847, 231.575486969, 5533.27087554
0.7, 0.0147435586369, 0.549817399144, 0.0147435586369, 0.549817399144, 0.350577682311, 12.9627579654, 150.608293494, 5533.26064062
0.8, 0.0101214260579, 0.544392644537, 0.0101214260579, 0.544392644537, 0.232861990522, 12.9613368361, 103.350528804, 5533.25523572
0.9, 0.00670816453135, 0.541526129395, 0.00670816453135, 0.541526129395, 0.163075320764, 12.9607341332, 69.0709744615, 5533.25238147
1, 0.00452783153071, 0.540011423265, 0.00452783153071, 0.540011423265, 0.116046269656, 12.9604785261, 46.6058823124, 5533.25087419
