## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 07:40:29
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.563827 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.563827, 0.431359, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.563827 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.563827, 0.431359, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 1.00441 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 1.00441, 15.6068, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.56868 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.56868, 4433.17, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.878631707038, 1.86783077766, 0.878631707038, 1.86783077766, 41.01906781, 42.0170721676, 9037.96313603, 8928.51222943
0.1, 0.746485795468, 1.70530955984, 0.746485795468, 1.70530955984, 37.1688544593, 41.9223066567, 7685.99302357, 8928.35097664
0.2, 0.650514693249, 1.56920148825, 0.650514693249, 1.56920148825, 33.7313139902, 41.8365216479, 6709.58691413, 8928.21572631
0.3, 0.580029053871, 1.45521386622, 0.580029053871, 1.45521386622, 30.7411620874, 41.7588660992, 5984.16857686, 8928.10228547
0.4, 0.519603328794, 1.35975165134, 0.519603328794, 1.35975165134, 27.8407492349, 41.6885696183, 5359.20113907, 8928.00713729
0.5, 0.468270234358, 1.27980407187, 0.468270234358, 1.27980407187, 25.2701228149, 41.6249348194, 4833.01860035, 8927.92733201
0.6, 0.422179903534, 1.21284967038, 0.422179903534, 1.21284967038, 22.9068365926, 41.5673304046, 4363.00305832, 8927.86039556
0.7, 0.38185010702, 1.15677677977, 0.38185010702, 1.15677677977, 20.7633474715, 41.5151849017, 3945.38282252, 8927.8042528
0.8, 0.346342872459, 1.10981692362, 0.346342872459, 1.10981692362, 18.8667786505, 41.4679809939, 3576.25511777, 8927.75716322
0.9, 0.315779348674, 1.07048904048, 0.315779348674, 1.07048904048, 17.3043821273, 41.4252503887, 3264.22581108, 8927.71766696
1, 0.285791712883, 1.0375527728, 0.285791712883, 1.0375527728, 15.6978373782, 41.386569171, 2953.9776713, 8927.68453959
