## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 07:46:05
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.336096 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.336096, 0.333874, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.336096 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.336096, 0.333874, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.403178 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.403178, 17.1782, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.337733 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.337733, 3429.89, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.853572054692, 1.8479995569, 0.853572054692, 1.8479995569, 44.3813792581, 45.3074981154, 8770.34131778, 8714.35521095
0.1, 0.631838198458, 1.59064683785, 0.631838198458, 1.59064683785, 34.8202302459, 45.0878350013, 6501.10936874, 8714.09892995
0.2, 0.47795047742, 1.3995245408, 0.47795047742, 1.3995245408, 27.4492889507, 44.9164237709, 4923.86592336, 8713.90832889
0.3, 0.367388561653, 1.25758808657, 0.367388561653, 1.25758808657, 21.7297603542, 44.7826652652, 3790.49994455, 8713.76657527
0.4, 0.285343854707, 1.15217936477, 0.285343854707, 1.15217936477, 17.3070493156, 44.6782885693, 2945.16385702, 8713.66115041
0.5, 0.222492104865, 1.07389786413, 0.222492104865, 1.07389786413, 13.863031321, 44.5968395835, 2299.66283544, 8713.58274394
0.6, 0.175727965943, 1.01576232054, 0.175727965943, 1.01576232054, 11.1795395807, 44.5332819356, 1815.01288064, 8713.52443156
0.7, 0.138588620402, 0.972588117159, 0.138588620402, 0.972588117159, 9.01401996389, 44.4836855586, 1432.44426257, 8713.48106353
0.8, 0.110214458535, 0.940524912413, 0.110214458535, 0.940524912413, 7.32037071572, 44.4449836761, 1139.703753, 8713.4488099
0.9, 0.087918297652, 0.91671326059, 0.087918297652, 0.91671326059, 5.97021134808, 44.4147831697, 909.591979496, 8713.42482227
1, 0.0708990077981, 0.899029602108, 0.0708990077981, 0.899029602108, 4.86697937695, 44.3912166006, 736.131385906, 8713.40698221
