## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 18:57:04
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.162719 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.162719, 0.213672, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.162719 s
## Entry 1 Label = Integral 1: 0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.162719, 0.213672, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.122821 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.122821, 11.687, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.162876 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.162876, 2435.12, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.570806479871, 1.56870571661, 0.570806479871, 1.56870571661, 30.9978078061, 31.9891431599, 6506.48474761, 6484.39568956
0.1, 0.305754081766, 1.10958701844, 0.305754081766, 1.10958701844, 14.0106391571, 31.4321384165, 3490.01835311, 6483.93689052
0.2, 0.170609652322, 0.861258299274, 0.170609652322, 0.861258299274, 6.30532078086, 31.1853879573, 1944.70261222, 6483.68858803
0.3, 0.0985231169062, 0.726941938375, 0.0985231169062, 0.726941938375, 2.96040068437, 31.0760786743, 1122.24506785, 6483.55420649
0.4, 0.0584404349734, 0.654292730236, 0.0584404349734, 0.654292730236, 1.94420913019, 31.0276551804, 667.748863936, 6483.48147908
0.5, 0.0362830346035, 0.614998131961, 0.0362830346035, 0.614998131961, 1.29286165408, 31.0062038023, 411.944189674, 6483.44211893
0.6, 0.0230759631645, 0.593744418492, 0.0230759631645, 0.593744418492, 0.851003027263, 30.9967009436, 261.683636653, 6483.42081718
0.7, 0.0150007432613, 0.582248682282, 0.0150007432613, 0.582248682282, 0.57882786034, 30.9924912222, 170.278984642, 6483.40928865
0.8, 0.00976013112647, 0.576030853515, 0.00976013112647, 0.576030853515, 0.3921837029, 30.9906263356, 111.122425791, 6483.4030494
0.9, 0.00672245522164, 0.572667746197, 0.00672245522164, 0.572667746197, 0.266945491867, 30.9898001997, 76.3104412494, 6483.39967272
1, 0.00449179616589, 0.570848704333, 0.00449179616589, 0.570848704333, 0.202879392616, 30.9894342254, 50.244908127, 6483.39784525
