## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 08:03:47
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.3854 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.3854, 0.3707, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.3854 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.3854, 0.3707, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.51583 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.51583, 21.7047, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.387616 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.387616, 3806.06, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.916379485071, 1.90949623235, 0.916379485071, 1.90949623235, 55.7932144398, 56.6832279667, 9413.30569217, 9345.08102869
0.1, 0.707172278693, 1.68095615269, 0.707172278693, 1.68095615269, 46.1162582551, 56.5069991846, 7276.84330192, 9344.85363367
0.2, 0.558118819702, 1.50464664104, 0.558118819702, 1.50464664104, 38.3182847304, 56.3618269862, 5748.99884743, 9344.67794714
0.3, 0.446900774826, 1.36863091923, 0.446900774826, 1.36863091923, 31.9407414281, 56.2422383075, 4606.50575212, 9344.54221085
0.4, 0.361403834238, 1.26370024132, 0.361403834238, 1.26370024132, 26.6353375427, 56.143724596, 3728.81554082, 9344.43734032
0.5, 0.295051946363, 1.18275042889, 0.295051946363, 1.18275042889, 22.4043432637, 56.0625718359, 3045.0737194, 9344.35631683
0.6, 0.242048718439, 1.12030089305, 0.242048718439, 1.12030089305, 18.8043098572, 55.9957205278, 2499.71242489, 9344.29371768
0.7, 0.200164848858, 1.0721235791, 0.200164848858, 1.0721235791, 15.8883455404, 55.9406503444, 2067.13942819, 9344.24535326
0.8, 0.165335392843, 1.03495671232, 0.165335392843, 1.03495671232, 13.3713135995, 55.8952851123, 1708.23829223, 9344.20798667
0.9, 0.136974046746, 1.00628396423, 0.136974046746, 1.00628396423, 11.2811574918, 55.8579145398, 1413.92852891, 9344.17911706
1, 0.113676603488, 0.984164088278, 0.113676603488, 0.984164088278, 9.53843912923, 55.8271297378, 1177.03977536, 9344.15681225
