## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 08:45:02
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.386243 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.386243, 0.372797, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.386243 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.386243, 0.372797, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.512945 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.512945, 21.246, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.388547 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.388547, 3824.31, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.921266564395, 1.91451510359, 0.921266564395, 1.91451510359, 53.6112794694, 54.368184483, 9457.19905399, 9388.60886982
0.1, 0.711429045303, 1.68641209953, 0.711429045303, 1.68641209953, 44.1197678737, 54.191057939, 7313.08159388, 9388.38195273
0.2, 0.562174556571, 1.51034007593, 0.562174556571, 1.51034007593, 36.7658750365, 54.0453052076, 5783.42231189, 9388.206527
0.3, 0.449956957407, 1.37443060984, 0.449956957407, 1.37443060984, 30.7931316863, 53.9253691537, 4636.22480901, 9388.07090837
0.4, 0.365450817552, 1.26952250125, 0.365450817552, 1.26952250125, 25.9339183447, 53.8266769586, 3765.52121122, 9387.96606392
0.5, 0.296332260305, 1.18854424738, 0.296332260305, 1.18854424738, 21.8688323829, 53.745465771, 3062.14349629, 9387.88501047
0.6, 0.243412351538, 1.12603737648, 0.243412351538, 1.12603737648, 18.4169002913, 53.6786392403, 2513.07188298, 9387.82234944
0.7, 0.201698493121, 1.07778851061, 0.201698493121, 1.07778851061, 15.6790945644, 53.6236494621, 2080.45529036, 9387.77390726
0.8, 0.166559810652, 1.04054535599, 0.166559810652, 1.04054535599, 13.2887748283, 53.5783998332, 1718.85793172, 9387.73645745
0.9, 0.138508306841, 1.01179747681, 0.138508306841, 1.01179747681, 11.2996669288, 53.5411651147, 1429.79312579, 9387.70750563
1, 0.115281799643, 0.989607075239, 0.115281799643, 0.989607075239, 9.58166034362, 53.5105256532, 1191.54932833, 9387.68512348
