## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 08:59:39
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.255641 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.255641, 0.30967, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.255641 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.255641, 0.30967, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.303824 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.303824, 10.7575, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.256811 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.256811, 3183.31, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.815660465869, 1.8124729669, 0.815660465869, 1.8124729669, 28.9606814998, 29.9307697183, 8387.8912338, 8356.86500634
0.1, 0.550411934609, 1.48873545636, 0.550411934609, 1.48873545636, 20.8210897662, 29.6503138493, 5670.43609788, 8356.54247564
0.2, 0.377394551932, 1.26980392155, 0.377394551932, 1.26980392155, 15.0554647938, 29.4485134748, 3897.08407681, 8356.323971
0.3, 0.263551443813, 1.1217487368, 0.263551443813, 1.1217487368, 10.8816743087, 29.3033091997, 2719.97460275, 8356.17594081
0.4, 0.186023731135, 1.02162456899, 0.186023731135, 1.02162456899, 7.91377009843, 29.1988283157, 1921.0343184, 8356.0756549
0.5, 0.133219631954, 0.953914350002, 0.133219631954, 0.953914350002, 5.73930411572, 29.1236497088, 1375.63578858, 8356.00771427
0.6, 0.096433298259, 0.908124468751, 0.096433298259, 0.908124468751, 4.19728369085, 29.0695553835, 997.214188785, 8355.96168658
0.7, 0.0700043220445, 0.877158489664, 0.0700043220445, 0.877158489664, 3.06862167467, 29.0306321292, 732.823996345, 8355.93050424
0.8, 0.0511135564059, 0.856217359558, 0.0511135564059, 0.856217359558, 2.24271881511, 29.00262513, 527.278825039, 8355.90937915
0.9, 0.0386253463094, 0.84205565878, 0.0386253463094, 0.84205565878, 1.65976235274, 28.982472858, 397.072730748, 8355.89506756
1, 0.0288704998999, 0.832478631757, 0.0288704998999, 0.832478631757, 1.21841437861, 28.9679724091, 297.407647055, 8355.88537189
