## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 11:32:25
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.255898 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.255898, 0.495174, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.255898 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.255898, 0.495174, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.299974 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.299974, 17.8871, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.257173 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.257173, 3216.88, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 1.30398915766, 2.29868781801, 1.30398915766, 2.29868781801, 47.9434117103, 48.8844992143, 8475.56482247, 8442.60825491
0.1, 0.879840045694, 1.97521583648, 0.879840045694, 1.97521583648, 34.3624800838, 48.6010101112, 5729.37164392, 8442.28609544
0.2, 0.604103472272, 1.75637797778, 0.604103472272, 1.75637797778, 24.7273173574, 48.3978870797, 3942.24804685, 8442.0677227
0.3, 0.421506713981, 1.60832803487, 0.421506713981, 1.60832803487, 17.8799701954, 48.2523472143, 2752.26786946, 8441.9197008
0.4, 0.298364511702, 1.50816810036, 0.298364511702, 1.50816810036, 12.9600984379, 48.1480663147, 1947.45173754, 8441.81936556
0.5, 0.212695800545, 1.44040709834, 0.212695800545, 1.44040709834, 9.44437995904, 48.0733479138, 1389.97300118, 8441.75135426
0.6, 0.155462566097, 1.39456488191, 0.155462566097, 1.39456488191, 6.91711319899, 48.0198113654, 1014.87197701, 8441.70525345
0.7, 0.113549839573, 1.36355133806, 0.113549839573, 1.36355133806, 5.07169788711, 47.981451845, 751.254461065, 8441.67400445
0.8, 0.0822125773616, 1.3425698067, 0.0822125773616, 1.3425698067, 3.75095421649, 47.9539668307, 535.454880086, 8441.65282261
0.9, 0.0616798449825, 1.32837521286, 0.0616798449825, 1.32837521286, 2.76466835505, 47.9342735184, 401.11768961, 8441.63846471
1, 0.0458962821082, 1.31877217242, 0.0458962821082, 1.31877217242, 2.01982794986, 47.9201630456, 298.872873666, 8441.62873233
