## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 18:21:52
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.160801 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.160801, 0.200368, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.160801 s
## Entry 1 Label = Integral 1: 0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.160801, 0.200368, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.115512 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.115512, 9.27818, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.160738 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.160738, 2283.88, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.533897863399, 1.53156573178, 0.533897863399, 1.53156573178, 24.2921974788, 25.2018556929, 6086.59725699, 6061.41399313
0.1, 0.283299932768, 1.06849542534, 0.283299932768, 1.06849542534, 10.3024812315, 24.6226079655, 3229.6089055, 6060.95079178
0.2, 0.157628051083, 0.819859227602, 0.157628051083, 0.819859227602, 4.44797719042, 24.3788881678, 1796.22726691, 6060.70214592
0.3, 0.0918843778396, 0.686359070146, 0.0918843778396, 0.686359070146, 2.87845106857, 24.276342509, 1045.7353951, 6060.56867316
0.4, 0.0550109060903, 0.614678871514, 0.0550109060903, 0.614678871514, 1.89559631758, 24.2331961901, 624.088019479, 6060.49702516
0.5, 0.0346572161689, 0.576191644429, 0.0346572161689, 0.576191644429, 1.24575794575, 24.2150422783, 393.937267682, 6060.45856461
0.6, 0.0223340215227, 0.555526709384, 0.0223340215227, 0.555526709384, 0.83475817971, 24.2074039786, 253.943583925, 6060.43791904
0.7, 0.0146116827629, 0.544431092144, 0.0146116827629, 0.544431092144, 0.556855852577, 24.2041901467, 166.080691471, 6060.42683653
0.8, 0.00979014438604, 0.538473525779, 0.00979014438604, 0.538473525779, 0.37165558996, 24.2028379196, 110.385411344, 6060.42088745
0.9, 0.0065345201044, 0.535274731496, 0.0065345201044, 0.535274731496, 0.272156698497, 24.202268967, 73.5018182179, 6060.41769399
1, 0.00441623955817, 0.533557203862, 0.00441623955817, 0.533557203862, 0.179434565658, 24.2020295789, 50.4718025779, 6060.41597975
