## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 13:18:20
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.284961 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.284961, 0.489781, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.284961 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.284961, 0.489781, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.306135 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.306135, 18.9548, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.285742 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.285742, 3178.66, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 1.29868907029, 2.29645352777, 1.29868907029, 2.29645352777, 50.9999471134, 51.9844721833, 8434.62715097, 8420.84037153
0.1, 0.916521688435, 2.00049036085, 0.916521688435, 2.00049036085, 36.825453882, 51.7058061841, 5956.11826297, 8420.54508326
0.2, 0.648936461407, 1.7921213901, 0.648936461407, 1.7921213901, 26.6613247294, 51.5047949241, 4221.29854542, 8420.33699015
0.3, 0.466289055714, 1.64542195982, 0.466289055714, 1.64542195982, 19.3933914764, 51.3597986676, 3034.71149858, 8420.1903445
0.4, 0.335268303127, 1.54214015752, 0.335268303127, 1.54214015752, 14.0490764503, 51.2552079379, 2181.32205678, 8420.08700159
0.5, 0.243447718239, 1.4694259645, 0.243447718239, 1.4694259645, 10.2157071367, 51.1797630883, 1585.83678428, 8420.01417462
0.6, 0.178428991164, 1.41823249434, 0.178428991164, 1.41823249434, 7.4572988082, 51.1253421531, 1161.19169516, 8419.96285261
0.7, 0.131809638229, 1.38219040573, 0.131809638229, 1.38219040573, 5.43353233186, 51.0860864822, 859.117279342, 8419.92668538
0.8, 0.0962780375596, 1.35681544781, 0.0962780375596, 1.35681544781, 3.95833903423, 51.0577700321, 624.270391338, 8419.90119791
0.9, 0.0731977885815, 1.33895054279, 0.0731977885815, 1.33895054279, 2.90850627437, 51.0373444138, 474.440712961, 8419.8832366
1, 0.0556021034886, 1.32637299164, 0.0556021034886, 1.32637299164, 2.38393263455, 51.0226107209, 360.936610827, 8419.87057905
