## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 10:39:53
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.353556 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.353556, 0.307261, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.353556 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.353556, 0.307261, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.41132 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.41132, 12.0162, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.354684 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.354684, 3160.46, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.811503789977, 1.80985007538, 0.811503789977, 1.80985007538, 32.2559883996, 33.1971527888, 8340.06273647, 8326.63646335
0.1, 0.612458938567, 1.56349014642, 0.612458938567, 1.56349014642, 25.2582609932, 32.9813303411, 6304.42201186, 8326.39078173
0.2, 0.464035036138, 1.37782343206, 0.464035036138, 1.37782343206, 19.8281692398, 32.8120872224, 4783.74402796, 8326.20545957
0.3, 0.354697116864, 1.23789755626, 0.354697116864, 1.23789755626, 15.6456709758, 32.6793705678, 3658.62026302, 8326.06566766
0.4, 0.272362065123, 1.13244380928, 0.272362065123, 1.13244380928, 12.3620872389, 32.5752971464, 2810.29952361, 8325.96022005
0.5, 0.209575946877, 1.05296963991, 0.209575946877, 1.05296963991, 9.7949216933, 32.4936851056, 2163.38872152, 8325.88067898
0.6, 0.162039630411, 0.993074721268, 0.162039630411, 0.993074721268, 7.75507487457, 32.4296867752, 1674.87726545, 8325.82067969
0.7, 0.125600390583, 0.947935510524, 0.125600390583, 0.947935510524, 6.13707892919, 32.3795007211, 1297.74315343, 8325.77542112
0.8, 0.0973883708023, 0.913916792533, 0.0973883708023, 0.913916792533, 4.81728653443, 32.340145944, 1006.6365463, 8325.74128175
0.9, 0.0760241754545, 0.888278923489, 0.0760241754545, 0.888278923489, 3.82429508075, 32.3092848113, 786.786168637, 8325.7155298
1, 0.0603025407575, 0.868957198041, 0.0603025407575, 0.868957198041, 3.0323093657, 32.2850842037, 635.311838307, 8325.69610463
