## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 07:52:58
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.39023 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.39023, 0.369029, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.39023 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.39023, 0.369029, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.530352 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.530352, 21.4048, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.392174 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.392174, 3791.51, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.914444851189, 1.90733778239, 0.914444851189, 1.90733778239, 55.4038655546, 56.236093414, 9399.58326399, 9327.11522666
0.1, 0.707300800971, 1.68127918112, 0.707300800971, 1.68127918112, 45.9090597074, 56.0642492692, 7276.12128832, 9326.89015179
0.2, 0.559141346616, 1.50632307106, 0.559141346616, 1.50632307106, 38.2679163982, 55.9219355346, 5761.60000065, 9326.71573562
0.3, 0.447961674277, 1.37091729453, 0.447961674277, 1.37091729453, 31.9346192789, 55.804077582, 4619.2251887, 9326.58057614
0.4, 0.364711701658, 1.26612115844, 0.364711701658, 1.26612115844, 27.0314502766, 55.7064728284, 3763.68859474, 9326.47583767
0.5, 0.29769848932, 1.18501509029, 0.29769848932, 1.18501509029, 22.6957313187, 55.6256408803, 3072.27568188, 9326.39467319
0.6, 0.244648936208, 1.12224374646, 0.244648936208, 1.12224374646, 19.092064973, 55.5586994291, 2525.14565117, 9326.3317768
0.7, 0.201135661272, 1.07366240482, 0.201135661272, 1.07366240482, 16.0997457065, 55.5032614743, 2077.78351395, 9326.28303681
0.8, 0.165797188922, 1.03606329332, 0.165797188922, 1.03606329332, 13.5577420136, 55.4573502075, 1713.69753982, 9326.24526696
0.9, 0.137780336794, 1.00696378437, 0.137780336794, 1.00696378437, 11.4637945522, 55.4193285231, 1425.44820531, 9326.21599816
1, 0.114907814332, 0.984442469711, 0.114907814332, 0.984442469711, 9.72517892064, 55.3878406425, 1187.73393645, 9326.19331703
