## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 09:05:04
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.568911 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.568911, 0.43385, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.568911 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.568911, 0.43385, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.9013 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.9013, 16.991, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.57376 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.57376, 4450.29, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.887390866268, 1.87742399284, 0.887390866268, 1.87742399284, 40.5872905413, 41.5820935998, 9112.07134301, 9011.78918572
0.1, 0.754571234693, 1.71623118469, 0.754571234693, 1.71623118469, 36.6012142455, 41.4770763129, 7758.6038278, 9011.62923982
0.2, 0.662460772228, 1.58102149794, 0.662460772228, 1.58102149794, 33.2616485177, 41.3830876565, 6816.47580311, 9011.49487662
0.3, 0.585466088108, 1.46760664028, 0.585466088108, 1.46760664028, 29.9814878273, 41.2989694338, 6028.69118909, 9011.38200425
0.4, 0.525212293914, 1.37247344202, 0.525212293914, 1.37247344202, 27.1970385763, 41.2236850786, 5408.73305372, 9011.28718536
0.5, 0.472436476196, 1.29267503113, 0.472436476196, 1.29267503113, 24.6862909662, 41.1563068821, 4868.92923731, 9011.20753236
0.6, 0.426326412496, 1.22573955018, 0.426326412496, 1.22573955018, 22.4240592361, 41.0960045611, 4394.26482856, 9011.14061953
0.7, 0.386082711667, 1.16959358737, 0.386082711667, 1.16959358737, 20.4495654307, 41.0420350262, 3981.47926058, 9011.08440914
0.8, 0.349661125217, 1.12249794997, 0.349661125217, 1.12249794997, 18.6103072815, 40.9937332254, 3607.25567394, 9011.03718936
0.9, 0.317350554536, 1.08299379061, 0.317350554536, 1.08299379061, 17.0040174288, 40.9505039488, 3272.01145358, 9010.9975222
1, 0.289406726246, 1.04985741764, 0.289406726246, 1.04985741764, 15.5799879653, 40.9118144934, 2984.42119865, 9010.96419963
