## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 13:23:00
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.299232 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.299232, 0.482806, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.299232 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.299232, 0.482806, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.328713 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.328713, 18.3362, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.300208 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.300208, 3136.62, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 1.29098005928, 2.28877888351, 1.29098005928, 2.28877888351, 49.5140624888, 50.4833616896, 8388.52870591, 8375.50920016
0.1, 0.923897870489, 2.00469737698, 0.923897870489, 2.00469737698, 36.5391966074, 50.2210627376, 6009.65341487, 8375.22589669
0.2, 0.665145807121, 1.8013181728, 0.665145807121, 1.8013181728, 26.9684265305, 50.0275645258, 4332.50167595, 8375.02285408
0.3, 0.480847571381, 1.65571523934, 0.480847571381, 1.65571523934, 19.9738472742, 49.8848206922, 3133.59002609, 8374.87733414
0.4, 0.350115868801, 1.55147540658, 0.350115868801, 1.55147540658, 14.8187079366, 49.7795184165, 2282.15770515, 8374.77304051
0.5, 0.255455048779, 1.47684818255, 0.255455048779, 1.47684818255, 11.0222048605, 49.7018368174, 1666.7075272, 8374.69829362
0.6, 0.187578880375, 1.42342117274, 0.187578880375, 1.42342117274, 8.19036891403, 49.6445310203, 1224.09849427, 8374.64472279
0.7, 0.138012632172, 1.38517178838, 0.138012632172, 1.38517178838, 6.09289864741, 49.6022564738, 901.370099237, 8374.60632876
0.8, 0.103813226065, 1.35778834674, 0.103813226065, 1.35778834674, 4.53086261717, 49.5710704965, 686.08320089, 8374.57881189
0.9, 0.07437477179, 1.33818403446, 0.07437477179, 1.33818403446, 3.36652241002, 49.5480645684, 483.558369788, 8374.55909064
1, 0.0556202137933, 1.32414894475, 0.0556202137933, 1.32414894475, 2.52466619334, 49.5310930711, 361.97387333, 8374.5449565
