## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 11:59:46
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.239582 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.239582, 0.455314, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.239582 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.239582, 0.455314, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.221989 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.221989, 15.7113, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.239829 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.239829, 2949.13, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 1.19302606479, 2.1900070882, 1.19302606479, 2.1900070882, 42.4493714854, 43.4616222788, 7733.69417896, 7715.91698471
0.1, 0.78893366357, 1.84876920069, 0.78893366357, 1.84876920069, 27.1115076478, 43.0989495934, 5116.54556781, 7715.57602995
0.2, 0.528654772221, 1.62397460905, 0.528654772221, 1.62397460905, 17.3436935027, 42.8678083847, 3428.96239811, 7715.35132534
0.3, 0.360953578899, 1.47588844898, 0.360953578899, 1.47588844898, 11.1837059073, 42.7204957789, 2339.11117295, 7715.20323483
0.4, 0.249242700483, 1.37833489735, 0.249242700483, 1.37833489735, 7.12477621885, 42.6266094315, 1614.0423516, 7715.10563649
0.5, 0.17554611344, 1.3140703136, 0.17554611344, 1.3140703136, 4.54807837984, 42.5667730978, 1135.35098346, 7715.04131477
0.6, 0.125983384003, 1.27173524065, 0.125983384003, 1.27173524065, 2.94001219119, 42.5286377679, 813.683497988, 7714.99892384
0.7, 0.0917947348497, 1.24384649856, 0.0917947348497, 1.24384649856, 1.84421561582, 42.5043330805, 592.01751356, 7714.9709863
0.8, 0.0686541773103, 1.2254744519, 0.0686541773103, 1.2254744519, 1.15611765007, 42.4888430393, 442.716685301, 7714.9525742
0.9, 0.0530169215017, 1.21337164364, 0.0530169215017, 1.21337164364, 0.882905321632, 42.478970813, 340.334174793, 7714.94043979
1, 0.0408218473441, 1.2053987721, 0.0408218473441, 1.2053987721, 0.853189529449, 42.4726789735, 261.912264481, 7714.93244267
