## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 10:09:57
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.193969 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.193969, 0.249813, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.193969 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.193969, 0.249813, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.155464 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.155464, 10.929, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.194165 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.194165, 2561.89, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.660464092679, 1.65797344392, 0.660464092679, 1.65797344392, 29.301589272, 30.3349724689, 6774.97952516, 6751.34726458
0.1, 0.393135477474, 1.25514706768, 0.393135477474, 1.25514706768, 15.5929102051, 29.8605613466, 4037.33148655, 6750.94474979
0.2, 0.240449839618, 1.01458978083, 0.240449839618, 1.01458978083, 8.31025803685, 29.6112161373, 2467.11165842, 6750.70425315
0.3, 0.151096505914, 0.870935314125, 0.151096505914, 0.870935314125, 4.39714347433, 29.4801630685, 1550.58538621, 6750.56055997
0.4, 0.0977897608911, 0.785148655672, 0.0977897608911, 0.785148655672, 2.34438428182, 29.4112830332, 1002.42562799, 6750.47470542
0.5, 0.0651918767852, 0.733919125974, 0.0651918767852, 0.733919125974, 1.2401899028, 29.3750804527, 669.357649721, 6750.4234086
0.6, 0.0439558468609, 0.703326202081, 0.0439558468609, 0.703326202081, 0.860809201148, 29.3560527791, 449.486623476, 6750.39275951
0.7, 0.0308733075071, 0.685056914858, 0.0308733075071, 0.685056914858, 0.613521300086, 29.3460520454, 315.636138946, 6750.37444713
0.8, 0.0217891177306, 0.674146978403, 0.0217891177306, 0.674146978403, 0.458553622329, 29.3407957711, 222.919392042, 6750.36350575
0.9, 0.0160366944735, 0.667631852116, 0.0160366944735, 0.667631852116, 0.345391530913, 29.3380331317, 163.099876051, 6750.35696844
1, 0.0116297950496, 0.663741190542, 0.0116297950496, 0.663741190542, 0.248862724558, 29.3365811192, 118.982687953, 6750.35306249
