## DataType = DataTable
## Name = 1H-T2 - CPMG1 Results
## Timestamp = 2022-05-30 10:23:20
## X Units = ms
## Entry 0 FitFunction = Exponential
## Entry 0 Information = T2 time: 0.198223 s
## Entry 0 Label = Sum, Exponential fit
## Entry 0 Name = Sum
## Entry 0 POI 0 = 0.198223, 0.251894, T2
## Entry 1 FitFunction = Exponential
## Entry 1 Information = T2 time: 0.198223 s
## Entry 1 Label = Integral 1: -0.01 to 9.99 ppm, Exponential fit
## Entry 1 Name = Integral 1
## Entry 1 POI 0 = 0.198223, 0.251894, T2
## Entry 2 FitFunction = Exponential
## Entry 2 Information = T2 time: 0.158038 s
## Entry 2 Label = FD Max 
## Entry 2 Name = FD Max
## Entry 2 POI 0 = 0.158038, 11.1432, T2
## Entry 3 FitFunction = Exponential
## Entry 3 Information = T2 time: 0.198464 s
## Entry 3 Label = TD Max
## Entry 3 Name = TD Max
## Entry 3 POI 0 = 0.198464, 2583.05, T2
## Display cursorformat = x: %0.2f s, y: %0.2f
## Display expandedylower = 0
## Display expandedyupper = 0
## Display legend = upper left
## Display nextentrybutton = 1
## Display results2dname = T2 - CPMG Raw Data
## Display xaxisticklabelformat = %0.1f s
## Display xmaxboundoverride = 1.1000000000000001
## Display xminboundoverride = 0
## Data =
##
x, Sum, Exponential fit, Integral 1, Exponential fit, FD Max, Exponential fit, TD Max, Exponential fit
0, 0.665903719038, 1.6635079043, 0.665903719038, 1.6635079043, 29.8852871933, 30.9232294301, 6830.67024004, 6808.02048144
0.1, 0.401193528512, 1.2673254391, 0.401193528512, 1.2673254391, 16.0764015726, 30.4543528451, 4120.09517283, 6807.62467008
0.2, 0.247434181036, 1.02810351963, 0.247434181036, 1.02810351963, 8.63848002192, 30.205321512, 2539.87931721, 6807.38552535
0.3, 0.156916229443, 0.883657129945, 0.156916229443, 0.883657129945, 4.62396443619, 30.07305514, 1609.57854394, 6807.24103682
0.4, 0.101950513452, 0.796437867016, 0.101950513452, 0.796437867016, 2.4775114612, 30.0028053728, 1046.09040653, 6807.1537385
0.5, 0.0683615623718, 0.743773346687, 0.0683615623718, 0.743773346687, 1.31677610487, 29.9654940765, 701.256057728, 6807.10099384
0.6, 0.0465401664986, 0.711973585851, 0.0465401664986, 0.711973585851, 0.895545484092, 29.9456771734, 476.262826412, 6807.06912612
0.7, 0.0325746757077, 0.692772332655, 0.0325746757077, 0.692772332655, 0.650420160665, 29.9351519522, 333.045761559, 6807.049872
0.8, 0.0230325918912, 0.681178279286, 0.0230325918912, 0.681178279286, 0.471447365921, 29.9295617607, 236.233664449, 6807.03823888
0.9, 0.0169005875647, 0.674177586562, 0.0169005875647, 0.674177586562, 0.352825518476, 29.9265926791, 171.962152104, 6807.03121028
1, 0.0121863339672, 0.669950445539, 0.0121863339672, 0.669950445539, 0.26514432893, 29.9250157304, 123.909788325, 6807.02696368
